Format,Extension,Category,Proposed Preservation Action,Preservation Level,Risk Level
MPEG-4 Media File,".mp4, .mpa",17. Video,Transform to Matroska (mkv – video: ffv1 / audio: lcpm),Full,Low
MPEG-2 Transport Stream,".mts, .m2ts",17. Video,Original,Full,Low
Quicktime,.mov,17. Video,Transform to Matroska (mkv – video: ffv1 / audio: lcpm),Full,Moderate
Windows Media Video,.wmv,17. Video,Transform to Matroska (mkv – video: ffv1 / audio: lcpm),Full,High
Microsoft Word (Generic),.doc,18. Word Processing,Transform to ODT,Full,High
Microsoft Word Document,".docx, .doc",18. Word Processing,Transform to ODT,Full,Low
Microsoft Word for Windows,".docx, .doc",18. Word Processing,Transform to ODT,Full,Low
OpenDocument Text,".odt, .ott",18. Word Processing,Original,Full,Low
Rich Text Format,.rtf,18. Word Processing,Transform to PDF/A,Full,Moderate
Statistica Report File,.str,18. Word Processing,Transform to PDF/A,Watch,High
Ventura Publisher,.gen,18. Word Processing,Transform to PDF/A,Watch,High
Wordcraft Chapter Files,.001,18. Word Processing,Original,Basic,High
WordStar for Windows Document,.ws,18. Word Processing,Transform to PDF/A,Full,High
XYWrite Document,.xy,18. Word Processing,Original,Basic,High
