Format,Extension,Category,Proposed Preservation Action,Preservation Level
VBScript (VBS) File,.vbs,12. Source Code and Software,To be reviewed,Basic
Windows Portable Executable,".exe, .dll, .sys",12. Source Code and Software,Original,Basic
Apple iWork Numbers,.numbers,13. Spreadsheet,Transform to CSV,Watch
Gnumeric,.gnumeric,13. Spreadsheet,To be reviewed,Basic
Microsoft Excel 5.0/95 Workbook (xls),.xls,13. Spreadsheet,Transform to ODS,Full
Microsoft Excel 97 Workbook (xls),.xls,13. Spreadsheet,Transform to ODS,Full
Microsoft Excel for Windows,.xlsx,13. Spreadsheet,Original,Full
Microsoft Excel Macro-Enabled,.xlsm,13. Spreadsheet,Original,Watch
Microsoft Multiplan,.mod,13. Spreadsheet,To be reviewed,Basic
OpenDocument Spreadsheet,.ods,13. Spreadsheet,Original,Full
Agisoft Project File,.psx,14. Text (Markup),To be reviewed,Basic
Canadian Avalanche Association Markup Language,.caaml,14. Text (Markup),Original,Full
Document Type Definition,.dtd,14. Text (Markup),Original,Full
eRuby HTML document,".rhtml, .rhtm",14. Text (Markup),Original,Full
Extensible Markup Language,.xml,14. Text (Markup),Original,Full
Extensible Metadata Platform Format,.xmp,14. Text (Markup),Original,Full
Extensible Metadata Platform Packet,.xmp,14. Text (Markup),Original,Full
Geography Markup Language,.gml,14. Text (Markup),Original,Full
GPS Exchange Format,.gpx,14. Text (Markup),Original,Full
Hypertext Markup Language,.html,14. Text (Markup),Original,Full
Keyhole Markup Language (Container),.kmz,14. Text (Markup),Original,Full
Keyhole Markup Language (XML),.kml,14. Text (Markup),Original,Full
LaTeX (Master document),.tex,14. Text (Markup),Original,Full
LaTeX (Subdocument),.tex,14. Text (Markup),Original,Full
Markdown,.md,14. Text (Markup),Original,Full
OGR GFS File,.gfs,14. Text (Markup),Original,Watch
QGIS Metadata File,.qmd,14. Text (Markup),Original,Full
QGIS Style Language,.qml,14. Text (Markup),Original,Full
reStructuredText,.rst,14. Text (Markup),Original,Full
SGML/XML Entity File,.sgml,14. Text (Markup),Original,Full
Standard Generalized Markup Language,.sgml,14. Text (Markup),Original,Full
TEI P5 - Single Text File,".tei, .odd, .xml",14. Text (Markup),Original,Full
XML Property List,.plist,14. Text (Markup),Original,Full
XML Schema Definition,.xsd,14. Text (Markup),Original,Full
BibTeX Database File,.bib,15. Text (Structured),Original,Full
Cascading Style Sheet,.css,15. Text (Structured),Original,Full
